id,title,type,severity,year,affected,event_date,event_title,event_desc,source_url,cve_id
equifax2017,Equifax Data Breach,breach,critical,2017,Equifax,,"One of the largest data breaches in history, exposing the personal information of 147 million Americans including Social Security numbers, birth dates, addresses, and driver's licence numbers. The breach stemmed from an unpatched Apache Struts vulnerability.",https://www.ftc.gov/enforcement/refunds/equifax-data-breach-settlement,,
equifax2017,,,,,,2017-03-07,Apache Struts CVE-2017-5638 vulnerability publicly disclosed,A critical RCE vulnerability in Apache Struts 2 is published. Equifax is notified to patch.,,
equifax2017,,,,,,2017-05-13,Attackers gain initial access,Threat actors exploit the unpatched Struts vulnerability on Equifax's dispute portal to gain a foothold.,,
equifax2017,,,,,,2017-05-13 – 2017-07-30,Data exfiltration period,"Attackers move laterally through 48 unrelated systems, finding unencrypted credentials that allow access to 51 databases. ~147M records exfiltrated over 78 days.",,
equifax2017,,,,,,2017-07-29,Breach discovered,Equifax's security team notices suspicious traffic and begins investigation.,,
equifax2017,,,,,,2017-09-07,Public disclosure,"Equifax publicly announces the breach, triggering congressional hearings and a $575M FTC settlement.",,
solarwinds2020,SolarWinds SUNBURST Supply Chain Attack,supply-chain,critical,2020,SolarWinds / US Government,,"A sophisticated nation-state attack (attributed to Russia's SVR) compromised SolarWinds' build pipeline, injecting malicious code into the SUNBURST backdoor distributed via legitimate Orion software updates. Affected 18,000+ organisations including US Treasury, DHS, and Fortune 500 companies.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-352a,,
solarwinds2020,,,,,,2019-10,Initial SolarWinds compromise,"Attackers gain access to SolarWinds' internal development environment, believed to be via a compromised employee password.",,
solarwinds2020,,,,,,2020-03-26,Trojanised Orion update released,"SolarWinds releases Orion update 2019.4 – 2020.2.1 containing the SUNBURST backdoor to approximately 18,000 customers.",,
solarwinds2020,,,,,,2020-04 – 2020-12,Dormancy and lateral movement,"SUNBURST lies dormant for up to 2 weeks post-install, then beacons to attacker C2 infrastructure disguised as Orion traffic.",,
solarwinds2020,,,,,,2020-12-13,FireEye discovers the attack,"FireEye (itself a victim) identifies SUNBURST and notifies CISA and SolarWinds, triggering a coordinated emergency disclosure.",,
solarwinds2020,,,,,,2020-12-14,Emergency Directive 21-01 issued,CISA issues Emergency Directive 21-01 ordering all federal agencies to immediately disconnect SolarWinds Orion.,,
log4shell2021,Log4Shell (CVE-2021-44228),cve,critical,2021,Apache Foundation / Global,CVE-2021-44228,"A zero-day RCE vulnerability in the ubiquitous Apache Log4j 2 Java logging library. Triggered by logging a specially crafted string, it enables unauthenticated remote code execution. Rated CVSS 10.0 — the maximum score. Affected hundreds of millions of devices globally.",https://nvd.nist.gov/vuln/detail/CVE-2021-44228,,
log4shell2021,,,,,,2021-11-24,Vulnerability reported to Apache,Alibaba Cloud security researcher Chen Zhaojun privately discloses the vulnerability to the Apache Security team.,,
log4shell2021,,,,,,2021-12-09,Zero-day PoC published on GitHub,"A proof-of-concept exploit is publicly posted on GitHub before a patch is available, triggering immediate mass exploitation attempts.",,
log4shell2021,,,,,,2021-12-10,"CVE-2021-44228 assigned, patch released",Apache releases Log4j 2.15.0 and the CVE is formally assigned. CISA adds it to the Known Exploited Vulnerabilities catalogue.,,
log4shell2021,,,,,,2021-12-10 – 2021-12-14,Mass exploitation in the wild,"Nation-state actors, ransomware groups, and cryptominers all begin exploiting Log4Shell. Cloudflare reports over 1M exploit attempts per minute at peak.",,
log4shell2021,,,,,,2021-12-14,Patch bypass found — 2.16.0 released,CVE-2021-45046 bypasses the 2.15.0 fix. Apache releases 2.16.0 disabling JNDI by default.,,
wannacry2017,WannaCry Ransomware Attack,malware,critical,2017,Microsoft Windows Users (Global),,"A global ransomware cyberattack using the EternalBlue exploit (leaked from NSA tooling) targeting unpatched Windows SMBv1. Infected 200,000+ systems across 150 countries in hours. The UK's NHS was severely disrupted. Attributed to North Korea's Lazarus Group.",https://www.ncsc.gov.uk/news/wannacry-ransomware-cyber-attack-hit-nhs,,
wannacry2017,,,,,,2017-03-14,MS17-010 patch released by Microsoft,"Microsoft patches the EternalBlue SMBv1 vulnerability (CVE-2017-0144), but many organisations fail to apply it.",,
wannacry2017,,,,,,2017-04-14,EternalBlue leaked by Shadow Brokers,The Shadow Brokers hacker group leaks NSA offensive tools including EternalBlue publicly online.,,
wannacry2017,,,,,,2017-05-12,WannaCry begins spreading,"WannaCry launches, exploiting EternalBlue to self-propagate across networks. The UK NHS is hit within hours; MRI scanners, theatre equipment, and computers are taken offline.",,
wannacry2017,,,,,,2017-05-12,Kill switch accidentally activated,"Security researcher Marcus Hutchins registers an unregistered domain found in the malware's code, inadvertently activating a kill switch that halts new infections.",,
wannacry2017,,,,,,2017-12,US and UK attribute attack to North Korea,"The US, UK, and Australia formally attribute WannaCry to North Korea's Lazarus Group.",,
