date_added,category,topic,definition,url
2026-02-27,DevOps,Kubernetes,"Kubernetes, also known as K8s, is an open-source container orchestration system for automating software deployment, scaling, and management. Originally designed by Google, the project is now maintained by a worldwide community of contributors, and the trademark is held by the Cloud Native Computing Foundation.",https://en.wikipedia.org/wiki/Kubernetes
2026-02-27,Version Control,Git,Git is a distributed version control software system that is capable of managing versions of source code or data. It is often used to control source code by programmers who are developing software collaboratively.,https://en.wikipedia.org/wiki/Git
2026-02-27,Data Structures,Oblivious data structure,"In computer science, an oblivious data structure is a data structure that gives no information about the sequence or pattern of the operations that have been applied except for the final result of the operations.",https://en.wikipedia.org/wiki/Oblivious_data_structure
2026-02-27,Artificial Intelligence,Information space analysis,"Within the field of information science, information space analysis is a deterministic method, enhanced by machine intelligence, for locating and assessing resources for team-centric efforts.",https://en.wikipedia.org/wiki/Information_space_analysis
2026-02-28,Cybersecurity,Microsoft Support Diagnostic Tool,"The Microsoft Support Diagnostic Tool (MSDT) is a legacy service in Microsoft Windows that allows Microsoft technical support agents to analyze diagnostic data remotely for troubleshooting purposes. In April 2022 it was observed to have a security vulnerability that allowed remote code execution which was being exploited to attack computers in Russia and Belarus, and later against the Tibetan government in exile. Microsoft advised a temporary workaround of disabling the MSDT by editing the Windows registry.",https://en.wikipedia.org/wiki/Microsoft_Support_Diagnostic_Tool
2026-02-28,Hardware,Machine Check Architecture,"In computing, Machine Check Architecture (MCA) is an Intel and AMD mechanism in which the CPU reports hardware errors to the operating system.",https://en.wikipedia.org/wiki/Machine_Check_Architecture
2026-02-28,Artificial Intelligence,Knowledge-based recommender system,"Knowledge-based recommender systems are a specific type of recommender system that are based on explicit knowledge about the item assortment, user preferences, and recommendation criteria. These systems are applied in scenarios where alternative approaches such as collaborative filtering and content-based filtering cannot be applied.",https://en.wikipedia.org/wiki/Knowledge-based_recommender_system
2026-02-28,Web Development,WebAR,"WebAR, previously known as the Augmented Web, is a web technology that allows for augmented reality functionality within a web browser. It is a combination of HTML, Web Audio, WebGL, and WebRTC. From 2020s more known as web-based Augmented Reality or WebAR, which is about the use of augmented reality elements in browsers.",https://en.wikipedia.org/wiki/WebAR
2026-02-28,Hardware,Dataflow,"In computing, dataflow is a broad concept, which has various meanings depending on the application and context. In the context of software architecture, data flow relates to stream processing or reactive programming.",https://en.wikipedia.org/wiki/Dataflow
2026-03-01,Cryptography,Padding (cryptography),"In cryptography, padding is any of a number of distinct practices which all include adding data to the beginning, middle, or end of a message prior to encryption. In classical cryptography, padding may include adding nonsense phrases to a message to obscure the fact that many messages end in predictable ways, e.g. sincerely yours.",https://en.wikipedia.org/wiki/Padding_(cryptography)
2026-03-01,Cybersecurity,Crackme,"A crackme is a small computer program designed to test a programmer's reverse engineering skills. Crackmes are made as a legal way to crack software, since no intellectual property is being infringed.",https://en.wikipedia.org/wiki/Crackme
2026-03-01,Web Development,Scandiweb,"scandiweb is a web development, digital strategy, AI consultation & implementation agency specializing in the Magento platform. The company was established in 2003 in Latvia by Antons Sapriko. It has offices in the United States, Sweden, Latvia, and Georgia. scandiweb provides solutions for primarily eCommerce businesses and acts as a strategic partner for IT development focusing on web, mobile, and big data analysis. T",https://en.wikipedia.org/wiki/Scandiweb
2026-03-01,Cybersecurity,WS-SecurityPolicy,"WS-Security Policy is a web services specification, created by IBM and 12 co-authors, that has become an OASIS standard as of version 1.2. It extends the fundamental security protocols specified by the WS-Security, WS-Trust and WS-Secure Conversation by offering mechanisms to represent the capabilities and requirements of web services as policies. Security policy assertions are based on the WS-Policy framework.",https://en.wikipedia.org/wiki/WS-SecurityPolicy
